Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2019-07-08T04:44:09+00:00,B07FWWZSR,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T11:40:13+00:00,B07FWYSTX,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T11:40:13+00:00,B07FWYSTX,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T12:16:11+00:00,B07FWYARY,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T12:16:11+00:00,B07FWYARY,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T12:16:19+00:00,B07FWVWTX,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T12:16:19+00:00,B07FWVWTX,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T12:43:45+00:00,B07FWXVXX,Social and Political Life Part - 1 Textbook in Social Science for Class - 6  - 658,129.0,196.0,1,school,10,by NCERT (Author),0.0,0,0,Unknown,
2019-07-08T12:43:45+00:00,B07FWXVXX,Social and Political Life Part - 1 Textbook in Social Science for Class - 6  - 658,129.0,196.0,1,school,10,by NCERT (Author),0.0,0,0,Unknown,
2019-07-08T15:06:51+00:00,B07FWVXXS,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T15:06:51+00:00,B07FWVXXS,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T15:06:51+00:00,B07FWVXXS,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T15:17:35+00:00,B07FWXAQZ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-08T15:17:35+00:00,B07FWXAQZ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-08T15:17:35+00:00,B07FWXAQZ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-08T15:17:35+00:00,B07FWXAQZ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-08T15:23:06+00:00,B07FWVVUW,Mathematics Textbook for Class 8- 852,180.0,247.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T15:23:06+00:00,B07FWVVUW,Mathematics Textbook for Class 8- 852,180.0,247.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
